Name	Set	ImageFile	Type	Clan	Group	Capacity	Discipline	PoolCost	BloodCost	Text	Rarity
Agru Kabera	LoB	agrukaberag4,cardbackcrypt	Vampire	Ishtarri	4	6	cel nec pre FOR			Laibon: +1 bleed.	LoB:U
Ahmose Chambers	LotN	ahmosechambersg5,cardbackcrypt	Vampire	Ministry	5	3	obf ser			Independent.	LotN:U, POD:DTC
Aidan Lyle	FB	aidanlyleg5,cardbackcrypt	Vampire	Tremere	5	7	dom AUS CHI THA			Camarilla: Aidan gets 1 optional press each combat.	KoT:V/B1, FB:PTr1
Aimee Laroux	LoB	aimeelarouxg4,cardbackcrypt	Vampire	Daughter of Cacophony	4	2	for pre			Independent: You may use four transfers and burn 1 pool to give Aimee an additional level of Melpominee [mel]. Aimee cannot play reaction cards.	LoB:U
Aimery Methuin	DM	aimerymethuing5,cardbackcrypt	Vampire	Ventrue antitribu	5	7	ani pot AUS DOM FOR			Sabbat: Younger Camarilla vampires get -1 intercept against Aimery.	DM:C/2
Aisata Swanou	EK	aisataswanoug5,cardbackcrypt	Vampire	Akunanse	5	7	abo ANI FOR VIC			Laibon: During your master phase, you may draw a card and move a card from your hand to either your ash heap or the top of your library.	EK:U
Aisha	FN	aishag2,cardbackcrypt	Vampire	Ministry	2	6	ani aus ser PRE			Independent: Once each turn, Aisha can burn 1 blood to get +1 intercept for the current action.	AH:V3, FN:PS1, POD:DTC
Aisha az-Zahra	Anthology	aishaazzahrag5,cardbackcrypt	Vampire	Toreador	5	9	obf qui AUS CEL PRE			Anarch: During the polling step of any referendum, Aisha can burn 1 blood to get +1 vote for each ready anarch you control. +1 bleed.	Anthology:LARP1
Aisling Sturbridge	CE	aislingsturbridgeg2,cardbackcrypt	Vampire	Tremere	2	5	dom AUS THA			Camarilla: Younger Tremere cannot block Aisling.	FN:U, CE:PTr
Aiyana, The Wolfcatcher	LoB	aiyanathewolfcatcherg4,cardbackcrypt	Vampire	Ahrimane	4	3	pre spi			Sabbat: Aiyana gets an optional press each combat when opposing a werewolf, and she can burn a blood each round to prevent all damage a werewolf inflicts on her that round. Sterile.	LoB:U
Akram	CE	akramg2,cardbackcrypt	Vampire	Brujah	2	8	pot pre CEL QUI			Camarilla primogen: Once each turn after completing combat, if Akram and the opposing minion are still ready, Akram may burn 1 blood to begin another combat with the opposing minion.	AH:V3, CE:PB
Aksinya Daclau	Third	aksinyadaclaug4,cardbackcrypt	Vampire	Gangrel antitribu	4	9	cel tha ANI FOR PRE PRO			Sabbat: Once each turn during a bleed against you, if Aksinya is ready and unlocked, you may discard a master card from your hand to redirect the bleed to any other Methuselah.	Third:V
Al-Ashrad, Amr of Alamut	FN	alashradamrofalamutg2,cardbackcrypt	Vampire	Banu Haqim	2	9	aus obf CEL QUI THA			Independent: Al-Ashrad can burn a location requiring a clan as a (D) action that costs 2 blood. Blood cursed. +1 bleed.	AH:V3, FN:PA, POD:DTC
Al-Ashrad, Amr of Alamut (ADV)	TU	alashradamrofalamutg2adv,cardbackcrypt	Vampire	Banu Haqim	2	9	AUS CEL OBF QUI THA			Camarilla: During the first round of combat, Al-Ashrad can use strikes requiring Blood Sorcery [tha] that are not usable during the first round. Blood cursed. [MERGED] Banu Haqim Inner Circle: +1 bleed.	TU:C/A2
Al-Muntaquim, The Avenger	LoB	almuntaquimtheavengerg4,cardbackcrypt	Vampire	True Brujah	4	8	obf pre FOR POT TEM			Independent: During your unlock phase, you may burn a Caitiff you control to give Al-Muntaquim +1 bleed for the remainder of the game. Al-Muntaquim unlocks whenever a Gehenna card is played. He cannot use cards that require Celerity [cel]. Scarce.	LoB:U
Al-Muntathir, God's Witness	HttB	almuntathirgodswitnessg5,cardbackcrypt	Vampire	True Brujah	5	8	obf qui AUS FOR PRE TEM			Sabbat: If you control four or more True Brujah, burn Al-Muntathir. He cannot use cards requiring Celerity [cel]. Black Hand. Scarce.	HttB:U/B2
Alabastrom	Anthology	alabastromg6,cardbackcrypt	Vampire	Gargoyle	6	7	aus cel for POT VIS			Anarch: If Alabastrom is ready during your turn, you can unlock another ready Gargoyle you control. Flight [FLIGHT].	Anthology:1
Alan Sovereign	BSC	alansovereigng3,cardbackcrypt	Vampire	Ventrue	3	6	for pre AUS DOM			Camarilla: When you play an investment card, add an additional counter to it from the blood bank.	CE:V, BSC:X
Alan Sovereign (ADV)	Promo	alansovereigng3adv,cardbackcrypt	Vampire	Ventrue	3	6	for pre AUS DOM			Advanced, Camarilla: While Alan is ready, you may pay some or all of the pool cost of equipping from any investment cards you control. [MERGED] During your master phase, if Alan is ready, you may move a counter from any investment card to your pool.	Promo-20051001
Alcoan	HttB	alcoang6,cardbackcrypt	Vampire	Harbinger of Skulls	6	7	for AUS CEL NEC			Sabbat: If Alcoan is in combat with an ally or younger vampire, you can look at the opposing minion's controller's hand before range is determined during the first round.	HttB:U/A2
Aleister Crowley	KoT	aleistercrowleyg5,cardbackcrypt	Vampire	Malkavian	5	7	aus obf DEM PRE THA			Camarilla: Frenzy cards cannot be played on Aleister.	KoT:PM2/A1
Alejandro Aguirre	BSC	alejandroaguirreg3,cardbackcrypt	Vampire	Tremere antitribu	3	5	ani aus dom tha			Sabbat: If Alejandro is ready, he may lock before range is determined in any combat that does not involve him to inflict 1 unpreventable damage on each combatant.	CE:V, Third:PTr, BSC:X
Aleph	Tenth	alephg1,cardbackcrypt	Vampire	Malkavian	1	4	dom AUS			Camarilla.	Jyhad:V, VTES:V, Tenth:A
Alessandro Garcia	Third	alessandrogarciag4,cardbackcrypt	Vampire	Brujah antitribu	4	4	pot pre pro			Sabbat: Alessandro gets +1 strength in combat with a Lasombra.	Third:PB/SKB1
Alex Camille	Anthology	alexcamilleg5,cardbackcrypt	Vampire	Gangrel antitribu	5	5	cel for obf PRO			Sabbat: During an action, Alex can burn 1 blood to get +1 intercept.	DM:C/2, Anthology:1
Alex Wilkins	KoT	alexwilkinsg5,cardbackcrypt	Vampire	Caitiff	5	1	cel			Camarilla: If Alex successfully bleeds, the target Methuselah can burn 1 additional pool to steal him after resolution.	KoT:V/B1
Alexa Draper	NB	alexadraperg6,cardbackcrypt	Vampire	Ventrue	6	8	for pot DOM PRE			Camarilla Prince of Melbourne: During the polling step of any referendum, Alexa can discard a card requiring Dominate [dom] to get +1 vote.	V5:PV1, NB:PV1
Alexander Silverson	NB	alexandersilversong6,cardbackcrypt	Vampire	Malkavian	6	8	pre AUS DOM OBF			Camarilla Prince of Birmingham: Vampires must burn 1 blood to cast votes and ballots against referendums called by Alexander.	V5:PM2, NB:PM1
Alexandra	CE	alexandrag2,cardbackcrypt	Vampire	Toreador	2	11	dom ANI AUS CEL PRE			Camarilla Toreador Inner Circle: Once during your turn, you may lock or unlock another ready Toreador. +2 bleed.	DS:V, CE:PTo
Alexis Sorokin	KMW	alexissoroking4,cardbackcrypt	Vampire	Ravnos	4	8	for CEL CHI OBF PRO			Independent: Once each combat, Alexis can strike: dodge. She can steal an equipment as a (D) action. She gets +1 bleed against a Methuselah who controls a ready Toreador. Red List.	KMW:U/PAn, POD:DTC
Alfred Benezri	BSC	alfredbenezrig3,cardbackcrypt	Vampire	Pander	3	6	aus dom PRE THA			Sabbat bishop: Alfred gets -1 strength in combat with an ally.	CE:V, BSC:X
Alfred Benezri (ADV)	Anarchs	alfredbenezrig3adv,cardbackcrypt	Vampire	Pander	3	7	aus dom PRE THA			Advanced, Sabbat bishop: If Alfred is ready, he may lock before range is determined to end combat between two other Sabbat vampires. [MERGED] Archbishop of Montreal: Once each referendum, he may burn 1 blood to gain 1 vote.	Anarchs:U2
Ali Kar	Anarchs	alikarg3,cardbackcrypt	Vampire	Banu Haqim	3	3	obf qui			Independent: Blood cursed.	Anarchs:U2, POD:DTC
Alice Chen	NB	alicecheng6,cardbackcrypt	Vampire	Ventrue	6	7	dom obf FOR PRE			Camarilla Prince of Nairobi.	V5:PV2, NB:PV1
Alicia Barrows	Gehenna	aliciabarrowsg4,cardbackcrypt	Vampire	Malkavian antitribu	4	9	AUS DEM OBF POT PRE			Sabbat Archbishop of Mexico City: If you control the Edge during your unlock phase, you may look at the hand of another Methuselah and discard up to two Gehenna cards from it.	Gehenna:U
Alicia Cortez	Promo	aliciacortezg4,cardbackcrypt	Vampire	Lasombra	4	8	CEL DOM OBT			Camarilla Prince of Tampa: After Alicia performs a successful directed action, she can discard a political action card to lock a younger vampire controlled by (one of) the target Methuselah(s).	Promo-20210331
Aline Gadeke	V5A	alinegadekeg6,cardbackcrypt	Vampire	Brujah	6	7	cel POT PRE			Anarch Baron of Mannheim: Once each turn, Aline can burn 1 blood to unlock after another Anarch you control performs a successful action.	V5A:PB2
Allanyan Serata	KoT	allanyanseratag5,cardbackcrypt	Vampire	Toreador	5	9	ani AUS CEL OBT PRE			Camarilla primogen: +1 strength.	KoT:V/B2
Allison Maller	BSC	allisonmallerg3,cardbackcrypt	Vampire	Brujah	3	4	cel pot pre			Camarilla.	CE:V/PB, BSC:X
Allonzo Montoya	KMW	allonzomontoyag3,cardbackcrypt	Vampire	Abomination	3	6	ani aus OBF SER			Independent: Allonzo gets +1 stealth on actions that require Serpentis [ser]. Allonzo cannot block undirected actions. Scarce. Sterile.	KMW:U
Almiro Suarez	BSC	almirosuarezg3,cardbackcrypt	Vampire	Tremere	3	2	aus			Camarilla.	CE:V, BSC:X
Almodo Giovanni	KMW	almodogiovannig4,cardbackcrypt	Vampire	Giovanni	4	3	dom pot			Independent.	KMW:U, POD:DTC
Alonso Petrodon	KoT	alonsopetrodong5,cardbackcrypt	Vampire	Nosferatu	5	10	for tha ANI DOM OBF POT			Camarilla Nosferatu Justicar: Alonso inflicts 1 unpreventable damage on each anarch controlled by the target of the bleed after bleeding successfully. +1 bleed.	KoT:V/A2
Alonzo Guillen	BSC	alonzoguilleng3,cardbackcrypt	Vampire	Nosferatu	3	6	ani for pot OBF			Camarilla: During your unlock phase and your discard phase, if Alonzo is ready, you may burn the Edge to look at another Methuselah's hand.	CE:V, BSC:X
Alu	LotN	alug5,cardbackcrypt	Vampire	Banu Haqim	5	2	obf			Independent: Blood cursed.	LotN:U, POD:DTC
Aluc Romas de Leon	V5A	alucromasdeleong6,cardbackcrypt	Vampire	Ministry	6	5	aus obf pro PRE			Anarch.	V5A:PMin1
Alvaro, The Scion of Angelica	SW	alvarothescionofangelicag2,cardbackcrypt	Vampire	Lasombra	2	9	dom pre OBT POT			Sabbat Archbishop of Pittsburgh: After resolution of any political action, if Alvaro abstained (even in torpor), he can gain 2 blood. +1 bleed.	Sabbat:V, SW:PL, POD:DTC
Amadeo	CE	amadeog2,cardbackcrypt	Vampire	Nosferatu	2	8	ani aus pre OBF POT			Camarilla primogen: +1 hunt.	DS:V, CE:PN
Amaravati	KMW	amaravatig4,cardbackcrypt	Vampire	Banu Haqim	4	8	ani chi DOM OBF QUI			Independent: During the polling step of a political action, Amaravati can burn 2 blood to give each ready Banu Haqim you control +1 vote. Blood cursed.	KMW:U, POD:DTC
Amavi	LoB	amavig4,cardbackcrypt	Vampire	Akunanse	4	8	pre pro ABO ANI FOR			Laibon: +1 bleed.	LoB:PA2
Amber	DM	amberg5,cardbackcrypt	Vampire	Toreador antitribu	5	5	cel AUS PRE			Sabbat.	DM:C/2
Ambrogino Giovanni	FN	ambroginogiovannig2,cardbackcrypt	Vampire	Giovanni	2	9	aus DOM NEC POT THA			Independent. 1 vote (titled): +1 bleed.	FN:U2, POD:DTC
Ambrogino Giovanni (ADV)	KMW	ambroginogiovannig2adv,cardbackcrypt	Vampire	Giovanni	2	9	aus DOM NEC POT THA			Independent: During your unlock phase, Ambrogino can remove seven cards in your ash heap from the game to gain 2 blood. Red List. +1 bleed. [MERGED] +1 stealth.	KMW:U, POD:DTC
Ambrosio Luis Moncada, Plenipotentiary	SW	ambrosioluismoncadaplenipotentiaryg2,cardbackcrypt	Vampire	Lasombra	2	10	aus for DOM OBT POT PRE			Sabbat cardinal: Moncada cannot block. Actions directed at him cost 1 additional pool. If he is ready during your discard phase, you can unlock another ready Lasombra.	SW:U, POD:DTC
Amelia	SW	ameliag2,cardbackcrypt	Vampire	Brujah antitribu	2	7	CEL POT PRE			Sabbat bishop: Amelia can enter combat with any vampire of capacity below 4 controlled by another Methuselah as a +1 stealth (D) action.	SW:PB
Amelia Locke	NB	amelialockeg6,cardbackcrypt	Vampire	Ventrue	6	6	cel dom FOR PRE			Camarilla.	NB:PV1
Amelia, The Blood Red Tears	BSC	ameliathebloodredtearsg3,cardbackcrypt	Vampire	Nosferatu	3	5	ani obf POT			Camarilla: After combat with Amelia, the opposing minion burns 1 blood or life.	CE:V, BSC:X
Amenophobis	Gehenna	amenophobisg4,cardbackcrypt	Vampire	Ministry	4	7	dom pre OBF SER			Camarilla primogen: You can draw 1 card (discard down afterward) after resolution of any successful action requiring Serpentis [ser]. Amenophobis gets +1 bleed against the Methuselah who has the Edge.	Gehenna:U, POD:DTC
America Johnson	SP	americajohnsong5,cardbackcrypt	Vampire	Tzimisce	5	4	vic AUS			Sabbat.	SP:DoF2
Amisa	FN	amisag2,cardbackcrypt	Vampire	Ministry	2	8	pre pro OBF SER			Independent. 2 votes (titled): Amisa can lock a vampire with capacity 8 or more as a (D) action.	AH:V3, FN:PS, POD:DTC
Ana Rita Montana	BH	anaritamontanag3,cardbackcrypt	Vampire	Tzimisce	3	5	aus dom obf VIC			Sabbat.	BH:U2
Anarch Convert	Promo	anarchconvertany,cardbackcrypt	Vampire	Caitiff	ANY	1				Anarch: As the convert enters play, you can remove him from the game to make a non-titled vampire you control Anarch and either gain 1 pool or draw 1 card from your crypt.	TR:U, Anthology:2, Promo-20210310
Anastasia Grey	Tenth	anastasiagreyg1,cardbackcrypt	Vampire	Gangrel	1	3	ani pro			Camarilla.	Jyhad:V, VTES:V, Tenth:B
Anastasz di Zagreb	BSC	anastaszdizagrebg3,cardbackcrypt	Vampire	Tremere	3	8	ani cel dom AUS THA			Camarilla Tremere Justicar: If there are any other justicars ready, Anastasz gets 1 fewer vote from his justicar title. Anastasz may steal 1 blood as a ranged strike.	CE:V, KMW:PAl, BSC:X
Anatole, Prophet of Gehenna	CE	anatoleprophetofgehennag2,cardbackcrypt	Vampire	Malkavian	2	8	dom for AUS DEM OBF			Camarilla: If Anatole is ready during your master phase, you may look at the top 5 cards of your library and then shuffle the top 5 cards of your library. +1 intercept.	FN:U, CE:PM
Andi Liu	NB	andiliug6,cardbackcrypt	Vampire	Malkavian	6	6	aus obf pre DOM			Camarilla Prince of Taipei.	V5:PM2, NB:PM1
Andre LeRoux	KoT	andrelerouxg5,cardbackcrypt	Vampire	Toreador	5	3	aus			Camarilla: If a vampire you control would successfully bleed, you can reduce the bleed amount by 1 to give Andre +2 bleed this turn.	KoT:V/B2
Andre the Manipulator	Anthology	andrethemanipulatorg5,cardbackcrypt	Vampire	Gangrel	5	6	FOR PRO			Camarilla: While Andre is ready, you get +2 hand size.	Anthology:LARP1
Andrea Giovanni	FN	andreagiovannig2,cardbackcrypt	Vampire	Giovanni	2	7	pot vic DOM NEC			Independent: Andrea gets +1 stealth during actions requiring Necromancy [nec].	FN:U2, POD:DTC
Andreas, The Bard of Crete	Tenth	andreasthebardofcreteg1,cardbackcrypt	Vampire	Toreador	1	9	dom pro AUS CEL PRE			Camarilla primogen: Once each turn, Andreas may burn 1 blood to get +1 intercept for the current action.	Jyhad:V, VTES:V, Tenth:B
Andrei Puxon	Tenth	andreipuxong2,cardbackcrypt	Vampire	Ravnos	2	5	ani cel chi for			Independent.	DS:V, Tenth:B, POD:DTC
Andrew Emory	HttB	andrewemoryg4,cardbackcrypt	Vampire	Lasombra	4	5	aus dom pot OBT			Sabbat bishop.	Third:V, HttB:PKia, POD:DTC
Andrew Stuart	KoT	andrewstuartg4,cardbackcrypt	Vampire	Tremere	4	5	AUS DOM THA			Camarilla: As Andrew plays a card requiring Blood Sorcery [tha] (before replacing the card), reveal the top card of your library. If it also requires Blood Sorcery, the card played is canceled and Andrew burns 1 blood.	KoT:V/B2
Andy	TR	andyg4,cardbackcrypt	Vampire	Caitiff	4	1	for			Camarilla: An older vampire opposing Andy gets one optional press each combat.	TR:U
Angel	Tenth	angelg1,cardbackcrypt	Vampire	Brujah	1	2	cel			Camarilla.	Jyhad:V, VTES:V, Tenth:A
Angel Chavarria	HttB	angelchavarriag6,cardbackcrypt	Vampire	Samedi	6	3	THN			Independent.	HttB:U/A2
Angela Decker	SW	angeladeckerg2,cardbackcrypt	Vampire	Pander	2	1	pre			Sabbat: If Angela is burned in combat, burn 2 pool.	Sabbat:V, SW:U
Angela Preston	BL	angelaprestong2,cardbackcrypt	Vampire	Daughter of Cacophony	2	5	for MEL PRE			Camarilla: Angela must burn 1 blood to attempt to block an older vampire. You may lock Angela during your influence phase to unlock any other vampire.	BL:U2
Angelica, The Canonicus	SW	angelicathecanonicusg2,cardbackcrypt	Vampire	Lasombra	2	10	cel obf DOM OBT POT			Sabbat cardinal: During an action, Angelica can discard X master cards to get +X intercept.	Sabbat:V, SW:PL, POD:DTC
Angelique	LK	angeliqueg6,cardbackcrypt	Vampire	Harbinger of Skulls	6	9	AUS FOR NEC SER THA			Sabbat: While Angelique is ready, cards requiring Necromancy [nec] cost Harbingers of Skulls you control 1 fewer blood.	LK:3
Angelo	Promo	angelog3,cardbackcrypt	Vampire	Blood Brother	3	7	pot vic CEL FOR SAN			Independent. Red List: All Blood Brothers may play cards that require Sanguinus [san] as if Angelo were a member of any circle. Angelo can burn a location as a (D) action. He cannot have or use retainers. Sterile.	Promo-20051026
Angus the Unruled	Tenth	angustheunruledg1,cardbackcrypt	Vampire	Gangrel	1	10	cel for pot ANI PRO			Camarilla Gangrel Justicar: +1 strength.	Jyhad:V, VTES:V, Tenth:B
Anisa Marianna Lopez	BL	anisamariannalopezg2,cardbackcrypt	Vampire	Harbinger of Skulls	2	8	aus FOR NEC QUI			Sabbat: Anisa can burn a vampire with a capacity less than 4 controlled by your predator or prey as a (D) action that costs 1 pool.	BL:U1
Anjalika Underwood	LotN	anjalikaunderwoodg5,cardbackcrypt	Vampire	Ravnos	5	5	aus chi for ANI			Independent.	LotN:U, POD:DTC
Anka, Priestess of Thorns	FN	ankapriestessofthornsg2,cardbackcrypt	Vampire	Ravnos	2	4	ani chi pro			Sabbat: Anka can enter combat with a Lasombra as a (D) action.	FN:U2, POD:DTC
Ankh-sen-Sutekh	KMW	ankhsensutekhg4,cardbackcrypt	Vampire	Ministry	4	6	obf PRE SER			Independent: +1 bleed.	KMW:U, POD:DTC
Ankla Hotep	FN	anklahotepg2,cardbackcrypt	Vampire	Ravnos	2	9	pro CHI FOR OBF PRE			Independent: Rescuing Ankla from torpor costs 2 fewer blood. He gets 1 optional press each combat.	FN:PR, POD:DTC
Ankou, The	KoT	ankoutheg5,cardbackcrypt	Vampire	Malkavian	5	10	AUS DEM OBF			Camarilla: If any vampire successfully hunts while the Ankou is ready and unlocked, the Ankou can burn that vampire as a (D) action that turn (even on another Methuselah's turn).	KoT:V/A2
Anna "Dictatrix11" Suljic	NoR	annadictatrix11suljicg4,cardbackcrypt	Imbued	Martyr	4	6	mar red viz			Anna may move 2 blood from the blood bank to any vampire as a +1 stealth action. During your unlock phase, you may look at the top three cards of your library.	NoR:U
Annabelle Triabell	BSC	annabelletriabellg3,cardbackcrypt	Vampire	Toreador	3	9	dom for AUS CEL PRE			Camarilla primogen: Annabelle can give Toreador vampires +1 bleed for the remainder of the turn as a +1 stealth action that costs 1 blood. If that action is successful, Annabelle unlocks.	CE:V, BSC:X
Annazir	HttB	annazirg5,cardbackcrypt	Vampire	Baali	5	9	DAI OBF POT PRE			Independent. 2 votes (titled): Annazir can burn a location or steal an equipment as a (D) action. Infernal. +1 bleed.	HttB:U/A2
Anne-Marie Bourgeois, Inconnu Recruiter	Anthology	annemariebourgeoisinconnurecruiterg5,cardbackcrypt	Vampire	Toreador	5	5	cel pre AUS			Camarilla: Equipment costs Anne-Marie 1 fewer pool.	Anthology:LARP1
Anneke	Tenth	annekeg1,cardbackcrypt	Vampire	Toreador	1	10	dom AUS CEL PRE			Camarilla Toreador Justicar: Anneke may attempt to block a vampire controlled by another Methuselah, ignoring the normal prey, predator or target restrictions for blocking actions. +1 bleed.	Jyhad:V, VTES:V, Tenth:B
Anson	Tenth	ansong1,cardbackcrypt	Vampire	Toreador	1	8	aus dom CEL PRE			Camarilla Prince of Seattle: If Anson is ready during your master phase, you get two master phase actions (instead of one).	Jyhad:V, VTES:V, Tenth:A
Antara	KMW	antarag4,cardbackcrypt	Vampire	Banu Haqim	4	8	aus obf pre CEL FOR QUI			Independent: Antara gets +1 intercept against Sabbat vampires. He burns 1 blood after any Methuselah plays a Gehenna event. Blood cursed.	Gehenna:U, KMW:PAn, POD:DTC
Antoine, The Lost	TR	antoinethelostg4,cardbackcrypt	Vampire	Malkavian	4	5	aus cel dem OBF			Camarilla.	TR:U
Antoinette Dubois	LoB	antoinetteduboisg4,cardbackcrypt	Vampire	Daughter of Cacophony	4	4	for mel PRE			Independent: Toreador and Toreador antitribu cannot block Antoinette. -1 intercept.	LoB:U
Antoinette DuChamp	Tenth	antoinetteduchampg2,cardbackcrypt	Vampire	Caitiff	2	1	cel pre			Camarilla: Action cards and strike cards that require Celerity [cel] cost Antoinette an additional blood.	DS:V, Tenth:A
Antoinette, She Who Watches	BSC	antoinetteshewhowatchesg3,cardbackcrypt	Vampire	Toreador	3	6	cel obf AUS PRE			Camarilla primogen.	CE:V, BSC:X
Anton	SW	antong2,cardbackcrypt	Vampire	Tzimisce	2	8	cel obf vic ANI AUS			Sabbat: +1 intercept.	Sabbat:V, SW:U/PT
Anton de Concepcion	SP	antondeconcepciong4,cardbackcrypt	Vampire	Lasombra	4	9	aus ANI DOM OBT POT			Sabbat Archbishop of Chicago: Anton gets 1 optional maneuver during the first round of combat.	Third:V, SP:PoS2, POD:DTC
Antonino	Anarchs	antoninog3,cardbackcrypt	Vampire	Gangrel	3	6	ani pre pro FOR			Independent: Antonino gets +1 stealth on undirected actions.	Anarchs:PAB
Antonio d'Erlette	SP	antonioderletteg4,cardbackcrypt	Vampire	Tremere antitribu	4	5	dom for pot THA			Sabbat: While Antonio is ready, you can use 4 transfers to search your library (shuffle afterward) andor hand for a mage ally he could play. Put that ally in play with life equal to its starting life and pay its cost as normal.	Third:V, SP:PwN5
Antonio Delgado	SW	antoniodelgadog2,cardbackcrypt	Vampire	Lasombra	2	9	tha DOM OBT POT			Sabbat Archbishop of Atlanta: If Antonio performs a political action whose referendum passes, he can unlock during the discard phase.	Sabbat:V, SW:U/PL, POD:DTC
